City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Datetime
289,baykit,61.67,96.37,-2.61,100,94,3.09,RU,1675649113,2023-02-06 02:05:13
290,simao,22.7886,100.9748,64.62,35,5,3.27,CN,1675649114,2023-02-06 02:05:14
291,samarai,-10.6167,150.6667,83.01,79,99,13.47,PG,1675649114,2023-02-06 02:05:14
292,osa,57.2829,55.4567,10.94,97,100,3.11,RU,1675649115,2023-02-06 02:05:15
293,mayna,54.1135,47.6231,5.02,96,100,2.53,RU,1675649116,2023-02-06 02:05:16
294,menongue,-14.6585,17.691,60.8,94,100,1.07,AO,1675649117,2023-02-06 02:05:17
295,khomutovka,51.9207,34.5619,17.02,96,58,7.05,RU,1675649118,2023-02-06 02:05:18
296,margate,51.3813,1.3862,41.9,89,66,1.99,GB,1675649118,2023-02-06 02:05:18
297,siva,29.2041,25.5195,51.76,44,2,21.43,EG,1675649119,2023-02-06 02:05:19
298,iracoubo,5.4802,-53.2011,75.49,89,100,11.03,GF,1675649120,2023-02-06 02:05:20
299,tripoli,32.8752,13.1875,55.33,62,14,7.74,LY,1675649120,2023-02-06 02:05:20
300,carmo do rio claro,-20.9719,-46.1189,68.0,94,100,2.15,BR,1675649121,2023-02-06 02:05:21
301,suntar,62.1444,117.6319,-44.54,99,70,3.0,RU,1675649121,2023-02-06 02:05:21
302,suluq,31.6682,20.2521,50.0,55,99,20.69,LY,1675649121,2023-02-06 02:05:21
303,dunedin,-45.8742,170.5036,71.8,52,62,10.0,NZ,1675649122,2023-02-06 02:05:22
304,punto fijo,11.6956,-70.1996,77.29,82,35,30.51,VE,1675649122,2023-02-06 02:05:22
305,mapiri,-15.25,-68.1667,64.22,99,100,1.59,BO,1675649123,2023-02-06 02:05:23
306,pierre,44.3683,-100.351,34.72,78,0,15.01,US,1675649124,2023-02-06 02:05:24
307,husavik,66.0449,-17.3389,38.61,63,100,29.75,IS,1675649124,2023-02-06 02:05:24
308,bilma,18.6853,12.9164,62.26,13,12,14.03,NE,1675649125,2023-02-06 02:05:25
309,izhma,65.0083,53.9113,-12.82,100,100,3.06,RU,1675649126,2023-02-06 02:05:26
310,nouadhibou,20.931,-17.0347,60.78,55,1,17.27,MR,1675649126,2023-02-06 02:05:26
